Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
12:05:27.033,-0.15,0.08,0.08,-0.13,-0.04,-0.01
12:05:27.365,-0.2,0.08,0.08,0.05,0.1,-0.21
12:05:28.615,-0.36,0.12,0.04,0.04,0.11,-0.2
12:05:30.038,-0.32,0.2,0.01,-0.02,-0.12,-0.16
12:05:31.086,-0.29,0.28,0.06,0.14,0.01,-0.25
12:05:31.723,-0.23,0.3,0.06,-0.02,-0.09,-0.24
12:05:32.320,-0.17,0.32,-0.03,-0.03,0.02,-0.21
12:05:33.761,-0.1,0.37,0.11,0.12,-0.08,-0.18
12:05:34.315,-0.05,0.38,0.25,0.04,-0.08,-0.3
12:05:34.747,-0.01,0.38,0.19,0.02,0.05,-0.21
12:05:36.075,0.08,0.37,-0.1,0.01,0.05,-0.22
12:05:37.805,0.19,0.33,0.08,0.0,0.0,-0.17
12:05:38.111,0.21,0.32,0.14,0.02,0.1,-0.18
12:05:39.180,0.28,0.25,0.12,0.07,-0.05,-0.16
12:05:40.699,0.35,0.17,-0.01,0.12,-0.05,-0.21
12:05:41.917,0.37,0.09,-0.02,-0.07,0.0,-0.29
12:05:43.300,0.37,-0.02,0.01,0.02,0.1,-0.29
12:05:44.038,0.37,-0.08,0.02,0.03,-0.12,-0.23
12:05:45.714,0.33,-0.19,0.03,0.11,-0.02,-0.34
12:05:47.086,0.27,-0.26,-0.05,0.07,0.02,-0.22
12:05:48.200,0.22,-0.32,-0.03,0.09,0.03,-0.17
12:05:48.713,0.18,-0.35,0.04,0.08,0.04,-0.1
12:05:49.573,0.1,-0.37,0.05,-0.01,-0.09,-0.39
12:05:50.885,0.02,-0.38,0.04,0.16,-0.02,-0.17
12:05:51.847,-0.06,-0.36,-0.01,-0.02,0.12,-0.26
12:05:52.798,-0.13,-0.35,-0.04,-0.01,-0.05,-0.22
12:05:54.025,-0.2,-0.33,0.0,-0.03,0.01,-0.17
12:05:55.095,-0.27,-0.27,0.0,-0.1,0.07,-0.29
12:05:56.370,-0.33,-0.19,-0.0,-0.04,0.08,-0.23
12:05:57.572,-0.28,-0.11,-0.01,0.09,-0.02,-0.13
12:05:59.080,-0.18,-0.05,-0.02,0.05,-0.04,-0.19
