Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
12:05:26.700,0.12,0.18,-0.05,0.01,0.01,0.02
12:05:28.100,0.12,0.2,0.0,0.01,0.01,0.38
12:05:29.300,0.13,0.19,0.0,-0.03,0.01,-0.46
12:05:30.400,0.07,0.25,0.03,-0.01,-0.0,-0.36
12:05:31.300,0.98,0.63,0.0,-0.01,0.0,0.47
12:05:32.600,0.04,0.01,-0.1,-0.0,0.0,0.47
12:05:33.600,0.08,-0.06,-0.02,0.0,0.02,0.42
12:05:35.200,0.06,-0.04,-0.05,-0.0,-0.0,0.43
12:05:36.900,0.08,0.16,-0.04,0.0,-0.0,0.18
12:05:37.800,0.03,0.1,0.04,-0.01,-0.0,-0.39
12:05:39.300,0.12,0.18,-0.05,0.03,0.0,0.32
12:05:40.400,0.12,0.2,0.0,0.0,-0.01,-0.02
12:05:41.500,0.13,0.19,0.0,0.01,-0.01,0.03
12:05:43.200,0.07,0.25,0.03,0.01,-0.01,0.29
12:05:43.600,0.98,0.63,0.0,-0.01,0.0,-0.22
12:05:44.100,0.04,0.01,-0.1,-0.01,0.01,-0.44
12:05:44.400,0.08,-0.06,-0.02,0.0,-0.01,0.49
12:05:46.000,0.06,-0.04,-0.05,0.01,-0.01,-0.37
12:05:47.400,0.08,0.16,-0.04,0.0,-0.01,-0.3
12:05:49.000,0.03,0.1,0.04,0.02,-0.01,-0.31
12:05:50.800,0.12,0.18,-0.05,-0.01,0.01,-0.52
12:05:52.300,0.12,0.2,0.0,0.01,-0.03,-0.09
12:05:53.300,0.13,0.19,0.0,-0.01,-0.02,-0.03
12:05:54.800,0.07,0.25,0.03,-0.0,-0.01,0.32
12:05:55.200,0.98,0.63,0.0,-0.0,-0.01,-0.38
12:05:56.500,0.04,0.01,0.0,0.01,0.01,0.38
12:05:57.000,0.08,-0.06,-0.02,-0.0,0.01,0.33
12:05:58.700,0.06,-0.04,-0.05,0.0,0.01,-0.4
12:05:59.800,0.08,0.16,-0.04,0.0,-0.01,-0.39
12:06:00.700,0.03,0.1,0.04,0.02,-0.0,0.3
12:06:01.400,0.12,0.18,-0.05,0.0,0.01,0.31
12:06:02.900,0.12,0.2,0.0,0.0,-0.01,0.2
12:06:03.900,0.13,0.19,0.0,-0.02,0.0,0.39
12:06:05.000,0.07,0.25,0.03,0.0,-0.01,0.38
12:06:05.400,0.98,0.63,0.0,-0.0,-0.01,0.56
12:06:06.600,0.04,0.01,-0.1,-0.01,-0.01,-0.39
12:06:07.800,0.08,-0.06,-0.02,0.01,-0.0,-0.0
12:06:09.000,0.06,-0.04,-0.05,0.01,0.02,0.02
12:06:10.700,0.08,0.16,-0.04,0.0,-0.0,-0.28
12:06:12.100,0.03,0.1,0.04,-0.02,-0.0,-0.23
12:06:12.900,0.12,0.18,-0.05,0.0,-0.01,0.11
12:06:13.900,0.12,0.2,0.0,-0.0,-0.0,0.05
12:06:15.200,0.13,0.19,0.0,-0.02,-0.01,-0.12
12:06:15.600,0.07,0.25,0.03,-0.0,-0.0,0.0
12:06:16.900,0.98,0.63,0.0,-0.02,-0.0,0.03
12:06:18.200,0.04,0.01,-0.1,-0.01,0.01,-0.0
12:06:18.800,0.08,-0.06,-0.02,0.01,0.01,0.38
